Material,MaterialType,MaterialGroup,MaterialDescription,BaseUnit,OldMaterialNumber,Division,Plant,StorageLocation,PurchasingGroup,ProcurementType,MRPType,MRPController,LotSize,PlannedDeliveryTimeDays,GRProcessingTimeDays,SafetyStock,ReorderPoint,ValuationClass,PriceControl,StandardPrice,MovingAveragePrice,PriceUnit,Currency,GrossWeight,NetWeight,WeightUnit,Volume,VolumeUnit,ProfitCenter,TaxClassification,SalesStatus,CreatedOn,BatchManagement,SerialNumberProfile,CountryOfOrigin
SYN-FG-000001,FERT,FG010,Precision Pump Assembly 001,EA,LEG-FG-00001,10,1000,001,001,E,PD,100,EX,3,1,0,0,7920,S,62.22,0,1,USD,1.9,1.58,KG,0.003,M3,PC-1000-FG,1,01,2023-02-08,,0001,CA
SYN-FG-000002,FERT,FG011,Premium Control Valve 002,CS,LEG-FG-00002,10,1100,002,001,E,PD,101,EX,4,2,0,0,7920,S,255.18,0,1,USD,3.6,3.02,KG,0.005,M3,PC-1100-FG,1,01,2024-03-15,,,DE
SYN-FG-000003,FERT,FG012,Standard Sensor Kit 003,EA,LEG-FG-00003,10,1000,003,001,E,PD,102,EX,5,3,0,0,7920,S,42.12,0,1,USD,5.3,4.5,KG,0.007,M3,PC-1000-FG,1,01,2025-04-22,,,MX
SYN-FG-000004,FERT,FG013,Eco Filter Unit 004,CS,LEG-FG-00004,10,1100,001,001,E,PD,103,EX,6,1,0,0,7920,S,235.08,0,1,USD,7,6.02,KG,0.009,M3,PC-1100-FG,1,01,2026-05-02,,,JP
SYN-FG-000005,FERT,FG014,Heavy-Duty Drive Module 005,EA,LEG-FG-00005,10,1000,002,001,E,PD,104,EX,7,2,0,0,7920,S,22.02,0,1,USD,8.7,7.57,KG,0.012,M3,PC-1000-FG,1,01,2022-06-09,,0001,US
SYN-FG-000006,FERT,FG015,Compact Pump Assembly 006,CS,LEG-FG-00006,10,1100,003,001,E,PD,105,EX,8,3,0,0,7920,S,214.98,0,1,USD,10.4,9.15,KG,0.014,M3,PC-1100-FG,1,01,2023-07-16,,,CA
SYN-FG-000007,FERT,FG016,High-Grade Control Valve 007,EA,LEG-FG-00007,10,1000,001,001,E,PD,100,EX,9,1,0,0,7920,S,407.94,0,1,USD,12.1,10.77,KG,0.016,M3,PC-1000-FG,1,01,2024-08-23,,,DE
SYN-FG-000008,FERT,FG017,Modular Sensor Kit 008,CS,LEG-FG-00008,10,1100,002,001,E,PD,101,EX,10,2,0,0,7920,S,194.88,0,1,USD,13.8,12.42,KG,0.018,M3,PC-1100-FG,1,01,2025-09-03,,,MX
SYN-FG-000009,FERT,FG010,Universal Filter Unit 009,EA,LEG-FG-00009,10,1000,003,001,E,PD,102,EX,3,3,0,0,7920,S,387.84,0,1,USD,15.5,14.1,KG,0.021,M3,PC-1000-FG,1,01,2026-10-10,,0001,JP
SYN-FG-000010,FERT,FG011,Industrial Drive Module 010,CS,LEG-FG-00010,10,1100,001,001,E,PD,103,EX,4,1,0,0,7920,S,174.78,0,1,USD,17.2,15.82,KG,0.023,M3,PC-1100-FG,1,01,2022-11-17,,,US
SYN-FG-000011,FERT,FG012,Precision Pump Assembly 011,EA,LEG-FG-00011,10,1000,002,001,E,PD,104,EX,5,2,0,0,7920,S,367.74,0,1,USD,18.9,17.58,KG,0.025,M3,PC-1000-FG,1,01,2023-12-24,,,CA
SYN-FG-000012,FERT,FG013,Premium Control Valve 012,CS,LEG-FG-00012,10,1100,003,001,E,PD,105,EX,6,3,0,0,7920,S,154.68,0,1,USD,20.6,16.89,KG,0.027,M3,PC-1100-FG,1,01,2024-01-04,,,DE
